id_ruangan	nama_ruangan	nama_gedung	kapasitas
1	1	GEDUNG LAMA R - 1	50
2	10	GEDUNG LAMA R - 10	50
3	101	GEDUNG BARU R	50
4	102	GEDUNG BARU R	50
5	107	GEDUNG BARU R - 107	50
6	108	GEDUNG BARU R - 108	50
7	12	GEDUNG LAMA R - 12	40
8	15	GEDUNG LAMA R - 15	50
9	16	GEDUNG LAMA R - 16	50
10	17	GEDUNG LAMA R - 15	50
11	18	GEDUNG LAMA R - 18	50
12	2	GEDUNG LAMA R - 2	50
13	201	GEDUNG BARU - LAB KOM 201	24
14	202	GEDUNG BARU - LAB KOM 202	24
15	203	GEDUNG BARU - LAB KOM 203	24
16	204	GEDUNG BARU - LAB KOM 204	24
17	205	GEDUNG BARU R - 205	20
18	206	GEDUNG BARU R - 206	25
19	209	GEDUNG BARU R - 209	50
20	210	GEDUNG BARU	50
21	211	GEDUNG BARU	50
22	212	GEDUNG BARU	50
23	213	GEDUNG BARU	50
24	214	GEDUNG BARU	50
25	215	GEDUNG BARU	50
26	216	GEDUNG BARU	50
27	217	GEDUNG BARU	50
28	218	GEDUNG BARU	50
29	219	GEDUNG BARU	50
30	22	GEDUNG LAMA R - 22	50
31	28	GEDUNG LAMA R - 28	50
32	3	GEDUNG LAMA R - 3	50
33	301	GEDUNG BARU R - 301	50
34	302	GEDUNG BARU R - 302	50
35	303	GEDUNG BARU R - 303	50
36	304	GEDUNG BARU R - 304	50
37	305	GEDUNG BARU R - 305	50
38	306	GEDUNG BARU R - 306	50
39	307	GEDUNG BARU R - 307	50
40	308	GEDUNG BARU R - 308	50
41	309	GEDUNG BARU R - 309	50
42	310	GEDUNG BARU R - 310	50
43	311	GEDUNG BARU R - 311	50
44	312	GEDUNG BARU R - 312	50
45	315	GEDUNG BARU R - 315	50
46	4	GEDUNG LAMA R - 4	50
47	401	GEDUNG BARU R - 401	50
48	402	GEDUNG BARU R - 402	50
49	403	GEDUNG BARU R - 403	50
50	404	GEDUNG BARU R - 404	50
51	405	GEDUNG BARU R - 405	50
52	406	GEDUNG BARU R - 406	50
53	407	GEDUNG BARU R - 407	50
54	408	GEDUNG BARU R - 408	50
55	409	GEDUNG BARU R - 409	50
56	410	GEDUNG BARU R - 410	50
57	411	GEDUNG BARU R - 411	50
58	412	GEDUNG BARU R - 412	50
59	5	GEDUNG LAMA R - 5	50
60	6	GEDUNG LAMA R - 6	50
61	7	GEDUNG LAMA R - 7	50
62	8	GEDUNG LAMA R - 8	50
63	9	GEDUNG LAMA R - 9	50
64	A09	GEDUNG LAMA R - A09	14
65	B09	GEDUNG LAMA R - B09	16
66	B33	GEDUNG LAMA R - B33	20
67	B39	GEDUNG LAMA R - B39	40
68	B40	GEDUNG LAMA R - B40	40
